insertId,jsonPayload.message,"labels.""compute.googleapis.com/resource_name""",logName,receiveLocation,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
1amswrqf91imk2,"Mar 16 16:31:51 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [16/Mar/2025:16:31:51 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-16 16:31:51.137861+00:00
1m0ji5cf8xyxgf,"Mar 16 16:31:14 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [16/Mar/2025:16:31:14 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-16 16:31:14.919722+00:00
1m0ji5cf8xyxge,"Mar 16 16:31:14 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [16/Mar/2025:16:31:14 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-16 16:31:14.918176+00:00
1pxxl2f8t1bie,"Mar 16 06:57:46 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [16/Mar/2025:06:57:46 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-16 06:57:46.625255+00:00
1pxxl2f8t1bid,"Mar 16 06:57:46 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [16/Mar/2025:06:57:46 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-16 06:57:46.623626+00:00
nvy3arf7y4t8a,"Mar 16 06:57:23 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [16/Mar/2025:06:57:23 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-16 06:57:23.964005+00:00
nvy3arf7y4t89,"Mar 16 06:57:23 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [16/Mar/2025:06:57:23 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-16 06:57:23.963219+00:00
1pnjn8nf85n9nu,"Mar 16 06:55:52 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [16/Mar/2025:06:55:52 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-16 06:55:52.218817+00:00
1pnjn8nf85n9nt,"Mar 16 06:55:52 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [16/Mar/2025:06:55:52 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-16 06:55:52.216593+00:00
x0z95mf5fluee,"Mar 14 21:09:27 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [14/Mar/2025:21:09:27 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-14 21:09:27.276176+00:00
x0z95mf5flued,"Mar 14 21:09:27 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [14/Mar/2025:21:09:27 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-14 21:09:27.274046+00:00
1m9wmosf5iwkf8,"Mar 14 21:09:12 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [14/Mar/2025:21:09:12 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-14 21:09:12.561012+00:00
1m9wmosf5iwkf7,"Mar 14 21:09:12 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [14/Mar/2025:21:09:12 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-14 21:09:12.559312+00:00
qoovrxf56zdc7,"Mar 14 20:13:05 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [14/Mar/2025:20:13:05 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-14 20:13:05.176195+00:00
qoovrxf56zdc6,"Mar 14 20:13:05 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [14/Mar/2025:20:13:05 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-14 20:13:05.174681+00:00
1ud32m1f5b7o2d,"Mar 14 20:12:58 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [14/Mar/2025:20:12:58 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-14 20:12:58.861280+00:00
1ud32m1f5b7o2c,"Mar 14 20:12:58 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [14/Mar/2025:20:12:58 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-14 20:12:58.859935+00:00
1fx7kk5f3wsq6o,"Mar 12 20:15:07 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [12/Mar/2025:20:15:07 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:15:07.648382+00:00
1fx7kk5f3wsq6n,"Mar 12 20:15:07 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [12/Mar/2025:20:15:07 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:15:07.646558+00:00
14zcd8f3xzvhh,"Mar 12 20:14:38 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [12/Mar/2025:20:14:38 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:14:38.554375+00:00
14zcd8f3xzvhg,"Mar 12 20:14:38 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [12/Mar/2025:20:14:38 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (iPad; CPU OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/134.0.6998.33 Mobile/15E148 Safari/604.1"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:14:38.552955+00:00
4gzyi4f3u5uko,"Mar 12 20:14:33 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [12/Mar/2025:20:14:33 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:14:33.281114+00:00
4gzyi4f3u5ukn,"Mar 12 20:14:33 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [12/Mar/2025:20:14:33 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:14:33.279613+00:00
ofu4jgf3vbyzd,"Mar 12 20:14:13 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [12/Mar/2025:20:14:13 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:14:13.284465+00:00
ofu4jgf3vbyzc,"Mar 12 20:14:13 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [12/Mar/2025:20:14:13 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:14:13.282843+00:00
ozfp9mf41fscs,"Mar 12 20:10:12 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [12/Mar/2025:20:10:12 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:10:12.287142+00:00
ozfp9mf41fscr,"Mar 12 20:10:12 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [12/Mar/2025:20:10:12 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:10:12.284963+00:00
d2ahu4f3sappj,"Mar 12 20:10:10 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [12/Mar/2025:20:10:10 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:10:10.188919+00:00
d2ahu4f3sappi,"Mar 12 20:10:10 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [12/Mar/2025:20:10:10 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-12 20:10:10.187533+00:00
17bjepcebzsyo,"Mar 11 22:30:57 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [11/Mar/2025:22:30:57 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-11 22:30:57.395725+00:00
17bjepcebzsyn,"Mar 11 22:30:57 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [11/Mar/2025:22:30:57 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-11 22:30:57.393969+00:00
svs4w1fefefpf,"Mar 10 23:33:57 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [10/Mar/2025:23:33:57 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-10 23:33:57.500890+00:00
svs4w1fefefpe,"Mar 10 23:33:57 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [10/Mar/2025:23:33:57 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-10 23:33:57.499299+00:00
1t90hrqfe5y6qt,"Mar 10 23:25:51 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [10/Mar/2025:23:25:51 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-10 23:25:51.356540+00:00
1t90hrqfe5y6qs,"Mar 10 23:25:51 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [10/Mar/2025:23:25:51 +0000] ""GET /api/v2/bins HTTP/1.0"" 200 315 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-10 23:25:51.351297+00:00
8mqi8hf77n0sl,"Mar  8 15:28:34 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [08/Mar/2025:15:28:34 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-08 15:28:34.753185+00:00
8mqi8hf77n0s6,"Mar  8 15:28:34 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [08/Mar/2025:15:28:34 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (iPad; CPU OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/134.0.6998.33 Mobile/15E148 Safari/604.1"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-08 15:28:34.753176+00:00
1xxtntqehjckm,"Mar  8 06:53:18 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [08/Mar/2025:06:53:18 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-08 06:53:18.396419+00:00
1xxtntqehjckl,"Mar  8 06:53:18 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [08/Mar/2025:06:53:18 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-08 06:53:18.394979+00:00
1n3utj6e7pb0f,"Mar  8 06:53:10 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [08/Mar/2025:06:53:10 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-08 06:53:10.077868+00:00
1n3utj6e7pb0e,"Mar  8 06:53:10 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [08/Mar/2025:06:53:10 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-08 06:53:10.076522+00:00
1xnl2fgf5ol1df,"Mar  7 21:59:08 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [07/Mar/2025:21:59:08 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-07 21:59:08.637899+00:00
1xnl2fgf5ol1de,"Mar  7 21:59:08 gradeview-vm docker[344293]: gradeview-reverse-proxy  | 172.18.0.1 - - [07/Mar/2025:21:59:08 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/buckets"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-07 21:59:08.636188+00:00
136o00wf5dduud,"Mar  7 21:15:45 gradeview-vm docker[344293]: gradeview-api            | ::ffff:172.20.0.4 - - [07/Mar/2025:21:15:45 +0000] ""GET /api/v2/bins HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-07 21:15:45.976010+00:00
